"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/26/2020","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","31",".","17","17"
"01/27/2020","24","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","24",".","21","13"
"01/28/2020","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36","9","16","16"
"01/29/2020","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","40",".","26","14"
"01/30/2020","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","35",".","40","39"
"01/31/2020","50","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","36",".","50","36"
"02/01/2020","49","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","30",".","49","31"
"02/02/2020","48","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","32",".","48","29"
"02/03/2020","48","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","29","19","48","30"
"02/04/2020","58","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","9","29",".","58","."
"02/05/2020","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","32",".","34","23"
"02/06/2020","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","25",".","32","21"
"02/07/2020","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","33",".","17","20"
"02/08/2020","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","35",".","31","13"
"02/09/2020","51","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","32","11","51","28"
"02/10/2020","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","35",".","43","26"
"02/11/2020","47","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","31",".","47","25"
"02/12/2020","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","36",".","32","25"
"02/13/2020","34","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","7","32",".","32","34"
"02/14/2020","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35",".","31","10"
"02/15/2020","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35",".","34","16"
"02/16/2020","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31",".","52","32"
"02/17/2020","51","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","40",".","51","32"
"02/18/2020","36","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","32",".","36","23"
"02/19/2020","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","40",".","19","14"
"02/20/2020","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","37",".","23","21"
"02/21/2020","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","39","9","30","22"
"02/22/2020","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","43",".","43","26"
"02/23/2020","55","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","44",".","55","47"
