"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"07/28/2021","45","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","122","31","46.8","07/28/2010","07/28/2000"
"07/29/2021","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","77","23","43.6","07/29/2009","07/29/2014"
"07/30/2021","35","Ozone","UXBRIDGE","25-027-0024","AQS","105","27","43.4","07/30/2004","07/30/2017"
"07/31/2021","23","Ozone","UXBRIDGE","25-027-0024","AQS","87","18","39.8","07/31/2006","07/31/2000"
"08/01/2021","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","105","31","36.2","08/01/2005","08/01/2018"
"08/02/2021","32","Ozone","UXBRIDGE","25-027-0024","AQS","136","36","41.8","08/02/2001","08/02/2015"
"08/03/2021","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","174","30","42","08/03/2007","08/03/2018"
"08/04/2021","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","119","21","35.6","08/04/2002","08/04/2018"
"08/05/2021","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","105","27","43.4","08/05/2005","08/05/2017"
"08/06/2021","58","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","100","23","38","08/06/2001","08/06/2015"
"08/07/2021","54","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","143","26","40.8","08/07/2006","08/07/2016"
"08/08/2021","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","82","26","35.6","08/08/2005","08/08/2015"
"08/09/2021","66","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","164","24","35.4","08/09/2001","08/09/2015"
"08/10/2021","37","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","119","25","38.8","08/10/2004","08/10/2019"
"08/11/2021","61","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","164","21","37.8","08/11/2002","08/11/2019"
"08/12/2021","49","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","192","27","37.6","08/12/2002","08/12/2000"
"08/13/2021","49","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","214","25","35.4","08/13/2002","08/13/2018"
"08/14/2021","48","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","126","22","38.8","08/14/2002","08/14/2000"
"08/15/2021","31","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","108","26","38.8","08/15/2007","08/15/2014"
"08/16/2021","32","Ozone","UXBRIDGE","25-027-0024","AQS","150","30","42","08/16/2002","08/16/2011"
"08/17/2021","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","105","18","38.4","08/17/2012","08/17/2008"
"08/18/2021","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","154","26","40.2","08/18/2002","08/18/2005"
"08/19/2021","31","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","100","24","35.8","08/19/2004","08/19/2007"
"08/20/2021","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","101","19","35.6","08/20/2004","08/20/2000"
"08/21/2021","36","Ozone","UXBRIDGE","25-027-0024","AQS","90","22","35.4","08/21/2003","08/21/2000"
"08/22/2021","25","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","129","25","36.4","08/22/2002","08/22/2014"
"08/23/2021","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","80","21","29.4","08/23/2012","08/23/2014"
"08/24/2021","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","129","21","38.2","08/24/2007","08/24/2005"
"08/25/2021","71","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","103","24","41.8","08/25/2007","08/25/2006"
"08/26/2021","45","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","61","32","39.6","08/26/2009","08/26/2008"
"08/27/2021","43","Ozone","UXBRIDGE","25-027-0024","AQS","75","25","36.8","08/27/2004","08/27/2006"
"08/28/2021","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","100","25","46.2","08/28/2018","08/28/2014"
"08/29/2021","25","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","122","19","47.6","08/29/2007","08/29/2006"
"08/30/2021","42","Ozone","UXBRIDGE","25-027-0024","AQS","159","19","49.2","08/30/2007","08/30/2005"
"08/31/2021","35","Ozone","UXBRIDGE","25-027-0024","AQS","77","25","39","08/31/2012","08/31/2009"
"09/01/2021","29","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","93","27","36.4","09/01/2010","09/01/2006"
"09/02/2021","32","Ozone","UXBRIDGE","25-027-0024","AQS","143","18","34.6","09/02/2010","09/02/2000"
"09/03/2021","17","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","84","26","42.6","09/03/2007","09/03/2017"
"09/04/2021","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","74","25","37.8","09/04/2008","09/04/2006"
"09/05/2021","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","65","22","37.2","09/05/2008","09/05/2006"
"09/06/2021","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","48","21","34.4","09/06/2007","09/06/2006"
"09/07/2021","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","159","21","41.6","09/07/2007","09/07/2018"
"09/08/2021","46","Ozone","UXBRIDGE","25-027-0024","AQS","154","15","38.4","09/08/2001","09/08/2011"
"09/09/2021","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","147","18","30.8","09/09/2002","09/09/2018"
"09/10/2021","22","Ozone","UXBRIDGE","25-027-0024","AQS","179","19","29.4","09/10/2002","09/10/2010"
"09/11/2021","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","100","21","30.4","09/11/2013","09/11/2009"
"09/12/2021","47","Ozone","UXBRIDGE","25-027-0024","AQS","72","15","30.2","09/12/2005","09/12/2018"
"09/13/2021","39","Ozone","UXBRIDGE","25-027-0024","AQS","112","20","36.4","09/13/2012","09/13/2018"
"09/14/2021","33","Ozone","UXBRIDGE","25-027-0024","AQS","154","15","36.6","09/14/2002","09/14/2013"
"09/15/2021","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","57","20","34.4","09/15/2011","09/15/2005"
"09/16/2021","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","45","22","35.8","09/16/2015","09/16/2007"
"09/17/2021","48","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","87","20","42.6","09/17/2004","09/17/2005"
