"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"05/01/2021","45","Ozone","DUNKIRK","36-013-0006","AQS","154","31","53","05/01/2001","05/01/2007"
"05/02/2021","51","Ozone","DUNKIRK","36-013-0006","AQS","129","28","48.6","05/02/2001","05/02/2014"
"05/03/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","161","30","54.2","05/03/2001","05/03/2005"
"05/04/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","161","22","46.4","05/04/2001","05/04/2019"
"05/05/2021","27","Ozone","DUNKIRK","36-013-0006","AQS","126","34","44.2","05/05/2000","05/05/2017"
"05/06/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","97","33","50.6","05/06/2004","05/06/2006"
"05/07/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","119","31","41","05/07/2005","05/07/2010"
"05/08/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","133","33","60.8","05/08/2005","05/08/2002"
"05/09/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","151","39","63.2","05/09/2007","05/09/2019"
"05/10/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","119","34","45.6","05/10/2001","05/10/2019"
"05/11/2021","31","Ozone","DUNKIRK","36-013-0006","AQS","126","28","47.6","05/11/2001","05/11/2013"
"05/12/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","151","24","35.4","05/12/2004","05/12/2018"
"05/13/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","150","31","36.8","05/13/2004","05/13/2015"
"05/14/2021","50","Ozone","DUNKIRK","36-013-0006","AQS","71","31","40","05/14/2012","05/14/2016"
"05/15/2021","74","Ozone","DUNKIRK","36-013-0006","AQS","136","32","42.6","05/15/2007","05/15/2011"
"05/16/2021","80","Ozone","DUNKIRK","36-013-0006","AQS","77","31","51","05/16/2001","05/16/2004"
"05/17/2021","71","Ozone","DUNKIRK","36-013-0006","AQS","108","19","56.2","05/17/2000","05/17/2011"
"05/18/2021","84","Ozone","DUNKIRK","36-013-0006","AQS","71","38","45.6","05/18/2017","05/18/2015"
"05/19/2021","80","Ozone","DUNKIRK","36-013-0006","AQS","122","24","38.2","05/19/2012","05/19/2006"
"05/20/2021","105","Ozone","DUNKIRK","36-013-0006","AQS","112","21","42.2","05/20/2009","05/20/2000"
"05/21/2021","100","Ozone","DUNKIRK","36-013-0006","AQS","133","33","45","05/21/2009","05/21/2019"
"05/22/2021","71","Ozone","DUNKIRK","36-013-0006","AQS","74","21","42.8","05/22/2009","05/22/2008"
"05/23/2021","58","Ozone","DUNKIRK","36-013-0006","AQS","101","28","58.6","05/23/2007","05/23/2005"
"05/24/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","147","31","76.8","05/24/2007","05/24/2005"
"05/25/2021","84","Ozone","DUNKIRK","36-013-0006","AQS","140","34","81.6","05/25/2016","05/25/2004"
"05/26/2021","47","Ozone","DUNKIRK","36-013-0006","AQS","112","37","60.8","05/26/2014","05/26/2009"
"05/27/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","87","35","49.4","05/27/2010","05/27/2009"
