"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"04/25/2021","49","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","48","10","33","04/25/2009","04/25/2015"
"04/26/2021","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","45","17","29","04/26/2011","04/26/2009"
"04/27/2021","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","49","10","31","04/27/2011","04/27/2012"
"04/28/2021","37","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","49","16","36.6","04/28/2018","04/28/2015"
"04/29/2021","26","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","51","13","37","04/29/2017","04/29/2014"
"04/30/2021","29","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","64","9","34.8","04/30/2004","04/30/2014"
"05/01/2021","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","55","5","30.6","05/01/2008","05/01/2014"
"05/02/2021","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","90","6","35.8","05/02/2018","05/02/2017"
"05/03/2021","21","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","48","10","34.8","05/03/2018","05/03/2012"
"05/04/2021","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","75","9","39","05/04/2001","05/04/2014"
"05/05/2021","30","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","48","7","33.4","05/05/2018","05/05/2014"
"05/06/2021","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","69","16","37.2","05/06/2000","05/06/2007"
"05/07/2021","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","52","18","30.6","05/07/2011","05/07/2009"
"05/08/2021","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","51","11","39","05/08/2011","05/08/2010"
"05/09/2021","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","71","18","43.4","05/09/2018","05/09/2014"
"05/10/2021","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","74","6","42.4","05/10/2018","05/10/2009"
"05/11/2021","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","51","11","36","05/11/2016","05/11/2006"
"05/12/2021","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","54","9","39.2","05/12/2004","05/12/2008"
"05/13/2021","42","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","56","11","33.8","05/13/2012","05/13/2013"
"05/14/2021","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","57","6","37.2","05/14/2012","05/14/2006"
