"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM25","NO2"
"11/10/2012","63","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","63","19"
"11/11/2012","63","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","63","29"
"11/12/2012","57","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","57","25"
"11/13/2012","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","26","13"
"11/14/2012","61","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","61","17"
"11/15/2012","83","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","83","18"
"11/16/2012","87","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","87","20"
"11/17/2012","95","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","95","21"
"11/18/2012","99","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","99","26"
"11/19/2012","103","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","103","24"
"11/20/2012","108","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","108","25"
"11/21/2012","104","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","104","26"
"11/22/2012","82","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","82","24"
"11/23/2012","73","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","73","25"
"11/24/2012","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","20","3"
"11/25/2012","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","18","12"
"11/26/2012","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","52","21"
"11/27/2012","76","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","76","22"
"11/28/2012","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","58","16"
"11/29/2012","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","32","9"
"11/30/2012","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","36","7"
"12/01/2012","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","39","16"
