"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"03/23/2017","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","45",".","53","31"
"03/24/2017","61","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","29",".","61","32"
"03/25/2017","51","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","40",".","51","25"
"03/26/2017","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","41","14","35","23"
"03/27/2017","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","36",".","20","22"
"03/28/2017","49","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","23",".","49","20"
"03/29/2017","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","39",".","23","17"
"03/30/2017","46","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","46",".","15","6"
"03/31/2017","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","39",".","16","15"
"04/01/2017","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","41","2","11","11"
"04/02/2017","42","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","42",".","28","19"
"04/03/2017","45","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","45",".","38","25"
"04/04/2017","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","43",".","14","16"
"04/05/2017","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","35",".","15","15"
"04/06/2017","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","35",".","11","6"
"04/07/2017","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","31","2","5","8"
"04/08/2017","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","38",".","14","18"
"04/09/2017","46","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","46",".","38","25"
"04/10/2017","77","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","77",".","38","20"
"04/11/2017","74","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","74",".","42","25"
"04/12/2017","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","40",".","27","18"
"04/13/2017","44","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","44",".","16","14"
"04/14/2017","48","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS",".","48",".","28","18"
"04/15/2017","87","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS",".","87",".","33","19"
"04/16/2017","64","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS",".","64",".","33","13"
"04/17/2017","45","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","45",".","13","2"
"04/18/2017","48","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","48",".","15","10"
"04/19/2017","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","40","15","20","16"
"04/20/2017","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","32",".","26","10"
"04/21/2017","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","40",".","7","12"
"04/22/2017","26","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","26",".","9","17"
"04/23/2017","45","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","45",".","15","12"
"04/24/2017","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","38",".","21","13"
"04/25/2017","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","41","9","13","16"
"04/26/2017","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","32",".","4","15"
"04/27/2017","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","36",".","3","8"
"04/28/2017","49","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","49",".","22","16"
