"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25","NO2"
"12/08/2015","74","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","74","21"
"12/09/2015","63","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","63","16"
"12/10/2015","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","66","23"
"12/11/2015","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","62","19"
"12/12/2015","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","29","18"
"12/13/2015","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","22","11"
"12/14/2015","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","40","15"
"12/15/2015","20","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","10","20"
"12/16/2015","14","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","14","9"
"12/17/2015","10","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","10","10"
"12/18/2015","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","25","15"
"12/19/2015","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","20","4"
"12/20/2015","21","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","18","21"
"12/21/2015","57","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","57","27"
"12/22/2015","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","39","23"
"12/23/2015","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","31","14"
"12/24/2015","18","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","11","18"
"12/25/2015","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","40","16"
"12/26/2015","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","50","19"
"12/27/2015","17","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","17","13"
"12/28/2015","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","18","8"
"12/29/2015","16","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","15","16"
"12/30/2015","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","22","8"
"12/31/2015","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","31","16"
